SalesOrderId,EmailAddress,ProductName,Quantity
71782,catherine0@adventure-works.com,Touring-1000 Yellow 50,1
71782,catherine0@adventure-works.com,Front Brakes,1
71782,catherine0@adventure-works.com,LL Bottom Bracket,1
71782,catherine0@adventure-works.com,Touring-2000 Blue 46,1
71782,catherine0@adventure-works.com,Touring-1000 Blue 46,2
71782,catherine0@adventure-works.com,Short-Sleeve Classic Jersey XL,4
71782,catherine0@adventure-works.com,HL Touring Frame - Yellow 60,2
71782,catherine0@adventure-works.com,Long-Sleeve Logo Jersey L,8
71782,catherine0@adventure-works.com,Rear Derailleur,3
71782,catherine0@adventure-works.com,Touring-1000 Yellow 60,1
71782,catherine0@adventure-works.com,Touring-1000 Blue 50,2
71782,catherine0@adventure-works.com,Sport-100 Helmet Black,7
71782,catherine0@adventure-works.com,Touring-3000 Yellow 44,3
71782,catherine0@adventure-works.com,Touring-3000 Blue 50,2
71782,catherine0@adventure-works.com,Touring-3000 Blue 54,2
71782,catherine0@adventure-works.com,Touring-3000 Yellow 54,1
71782,catherine0@adventure-works.com,Touring-2000 Blue 60,1
71782,catherine0@adventure-works.com,Touring-1000 Blue 54,2
71782,catherine0@adventure-works.com,HL Crankset,2
71782,catherine0@adventure-works.com,Front Derailleur,2
71782,catherine0@adventure-works.com,HL Touring Seat/Saddle,1
71782,catherine0@adventure-works.com,LL Touring Frame - Yellow 62,1
71782,catherine0@adventure-works.com,HL Touring Frame - Blue 54,1
71782,catherine0@adventure-works.com,HL Touring Frame - Blue 60,1
71782,catherine0@adventure-works.com,Short-Sleeve Classic Jersey S,6
71782,catherine0@adventure-works.com,Short-Sleeve Classic Jersey L,4
71782,catherine0@adventure-works.com,Half-Finger Gloves M,1
71782,catherine0@adventure-works.com,Classic Vest M,4
71782,catherine0@adventure-works.com,Hydration Pack - 70 oz.,9
71782,catherine0@adventure-works.com,Sport-100 Helmet Blue,6
71782,catherine0@adventure-works.com,Sport-100 Helmet Red,3
71783,kevin5@adventure-works.com,LL Road Frame - Black 52,4
71783,kevin5@adventure-works.com,ML Road Pedal,6
71783,kevin5@adventure-works.com,Road-250 Black 44,3
71783,kevin5@adventure-works.com,Road-750 Black 58,4
71783,kevin5@adventure-works.com,Hydration Pack - 70 oz.,9
71783,kevin5@adventure-works.com,Half-Finger Gloves M,7
71783,kevin5@adventure-works.com,Road-350-W Yellow 48,25
71783,kevin5@adventure-works.com,Long-Sleeve Logo Jersey M,6
71783,kevin5@adventure-works.com,Bike Wash - Dissolver,8
71783,kevin5@adventure-works.com,HL Road Handlebars,1
71783,kevin5@adventure-works.com,Short-Sleeve Classic Jersey S,6
71783,kevin5@adventure-works.com,Patch Kit/8 Patches,6
71783,kevin5@adventure-works.com,Water Bottle - 30 oz.,10
71783,kevin5@adventure-works.com,ML Road Frame-W - Yellow 38,1
71783,kevin5@adventure-works.com,Road-550-W Yellow 42,1
71783,kevin5@adventure-works.com,Half-Finger Gloves S,2
71783,kevin5@adventure-works.com,Half-Finger Gloves L,9
71783,kevin5@adventure-works.com,Classic Vest S,15
71783,kevin5@adventure-works.com,LL Road Pedal,3
71783,kevin5@adventure-works.com,Short-Sleeve Classic Jersey L,11
71783,kevin5@adventure-works.com,LL Road Frame - Black 58,6
71783,kevin5@adventure-works.com,Short-Sleeve Classic Jersey XL,9
71783,kevin5@adventure-works.com,Road-750 Black 48,7
71783,kevin5@adventure-works.com,Road-750 Black 52,5
71783,kevin5@adventure-works.com,Road-550-W Yellow 38,4
